alert_type,ticker,price,timestamp,date,time,channel
exit,GE,305.91,2025-11-07T19:30:05.566000+00:00,2025-11-07,19:30:05,asumasnam-alerts
exit,NVDA,184.99,2025-11-07T19:30:06.013000+00:00,2025-11-07,19:30:06,asumasnam-alerts
call,RUT,2417.84,2025-11-07T19:35:00.503000+00:00,2025-11-07,19:35:00,expert-spx-alerts
call,SPX,6695.85,2025-11-07T19:35:00.790000+00:00,2025-11-07,19:35:00,expert-spx-alerts
call,SPY,667.57,2025-11-07T19:35:00.862000+00:00,2025-11-07,19:35:00,expert-spx-alerts
call,IONQ,55.9,2025-11-07T19:35:01.039000+00:00,2025-11-07,19:35:01,pro-account-alerts
call,COST,927.09,2025-11-07T19:35:01.426000+00:00,2025-11-07,19:35:01,asumasnam-alerts
call,META,615.73,2025-11-07T19:35:01.595000+00:00,2025-11-07,19:35:01,asumasnam-alerts
call,RUT,2421.5034,2025-11-07T19:40:01.008000+00:00,2025-11-07,19:40:01,expert-spx-alerts
call,SPX,6703.58,2025-11-07T19:40:02.037000+00:00,2025-11-07,19:40:02,expert-spx-alerts
call,TSM,284.75,2025-11-07T19:40:02.844000+00:00,2025-11-07,19:40:02,asumasnam-alerts
call,NDX,24856.792,2025-11-07T19:40:04.528000+00:00,2025-11-07,19:40:04,expert-spx-alerts
call,UNH,321.37,2025-11-07T19:40:05.001000+00:00,2025-11-07,19:40:05,pro-account-alerts
call,AXP,367.69,2025-11-07T19:40:05.063000+00:00,2025-11-07,19:40:05,pro-account-alerts
call,BRK,497.84,2025-11-07T19:40:05.178000+00:00,2025-11-07,19:40:05,pro-account-alerts
call,ULTA,515.99,2025-11-07T19:40:06.106000+00:00,2025-11-07,19:40:06,asumasnam-alerts
call,LOW,233.5,2025-11-07T19:40:30.710000+00:00,2025-11-07,19:40:30,pro-account-alerts
call,CRWD,538.74,2025-11-07T19:40:34.643000+00:00,2025-11-07,19:40:34,pro-account-alerts
call,RUT,2426.8785,2025-11-07T19:45:00.621000+00:00,2025-11-07,19:45:00,expert-spx-alerts
call,SPX,6714.13,2025-11-07T19:45:01.076000+00:00,2025-11-07,19:45:01,expert-spx-alerts
call,SPY,669.38,2025-11-07T19:45:01.403000+00:00,2025-11-07,19:45:01,expert-spx-alerts
call,CRWD,541.33,2025-11-07T19:45:01.938000+00:00,2025-11-07,19:45:01,pro-account-alerts
call,COIN,308.52,2025-11-07T19:45:02.205000+00:00,2025-11-07,19:45:02,pro-account-alerts
call,META,617.91,2025-11-07T19:45:03.226000+00:00,2025-11-07,19:45:03,asumasnam-alerts
call,ULTA,517.68,2025-11-07T19:45:06.279000+00:00,2025-11-07,19:45:06,asumasnam-alerts
exit,QURE,28.07,2025-11-07T19:45:07.689000+00:00,2025-11-07,19:45:07,asumasnam-alerts
call,CVNA,303.63,2025-11-07T19:45:08.653000+00:00,2025-11-07,19:45:08,asumasnam-alerts
call,NET,229.65,2025-11-07T19:45:08.842000+00:00,2025-11-07,19:45:08,pro-account-alerts
call,APP,618.67,2025-11-07T19:45:08.845000+00:00,2025-11-07,19:45:08,pro-account-alerts
call,NDX,24901.1604,2025-11-07T19:50:03.618000+00:00,2025-11-07,19:50:03,expert-spx-alerts
call,SPX,6716.33,2025-11-07T19:55:00.631000+00:00,2025-11-07,19:55:00,expert-spx-alerts
call,RUT,2428.9753,2025-11-07T19:55:00.766000+00:00,2025-11-07,19:55:00,expert-spx-alerts
call,NVDA,187.1,2025-11-07T19:55:01.032000+00:00,2025-11-07,19:55:01,asumasnam-alerts
call,NDX,24931.9147,2025-11-07T19:55:04.050000+00:00,2025-11-07,19:55:04,expert-spx-alerts
call,IONQ,57.14,2025-11-07T19:55:04.278000+00:00,2025-11-07,19:55:04,pro-account-alerts
call,MAR,290.74,2025-11-07T19:55:04.861000+00:00,2025-11-07,19:55:04,pro-account-alerts
call,APP,620.1,2025-11-07T19:55:13.022000+00:00,2025-11-07,19:55:13,pro-account-alerts
call,PLTR,177.74,2025-11-07T20:00:03.545000+00:00,2025-11-07,20:00:03,pro-account-alerts
call,APP,621.36,2025-11-07T20:00:04.505000+00:00,2025-11-07,20:00:04,pro-account-alerts
call,RUT,2430.1545,2025-11-07T20:00:05.252000+00:00,2025-11-07,20:00:05,expert-spx-alerts
call,COIN,309.69,2025-11-07T20:00:09.357000+00:00,2025-11-07,20:00:09,pro-account-alerts
call,META,619.51,2025-11-07T20:00:14.742000+00:00,2025-11-07,20:00:14,asumasnam-alerts
call,SPX,6719.74,2025-11-07T20:00:14.949000+00:00,2025-11-07,20:00:14,expert-spx-alerts
call,NDX,24988.2981,2025-11-07T20:00:15.839000+00:00,2025-11-07,20:00:15,expert-spx-alerts
call,IBM,307.2,2025-11-07T20:00:16.374000+00:00,2025-11-07,20:00:16,pro-account-alerts
exit,UNH,321.205,2025-11-07T20:05:00.502000+00:00,2025-11-07,20:05:00,pro-account-alerts
exit,HD,371.39,2025-11-07T20:05:01.089000+00:00,2025-11-07,20:05:01,pro-account-alerts
call,APP,622.46,2025-11-07T20:05:01.285000+00:00,2025-11-07,20:05:01,pro-account-alerts
call,ULTA,519.33,2025-11-07T20:05:05.380000+00:00,2025-11-07,20:05:05,asumasnam-alerts
call,NDX,24991.3793,2025-11-07T20:10:05.371000+00:00,2025-11-07,20:10:05,expert-spx-alerts
call,NDX,25010.0613,2025-11-07T20:15:05.359000+00:00,2025-11-07,20:15:05,expert-spx-alerts
exit,QURE,27.97,2025-11-07T20:15:06.084000+00:00,2025-11-07,20:15:06,asumasnam-alerts
call,APP,624.61,2025-11-07T20:15:08.498000+00:00,2025-11-07,20:15:08,pro-account-alerts
exit,META,617.56,2025-11-07T20:20:00.666000+00:00,2025-11-07,20:20:00,asumasnam-alerts
exit,NVDA,186.56,2025-11-07T20:20:01.023000+00:00,2025-11-07,20:20:01,asumasnam-alerts
exit,RUT,2423.5214,2025-11-07T20:20:02.428000+00:00,2025-11-07,20:20:02,expert-spx-alerts
exit,CVNA,301.42,2025-11-07T20:20:04.447000+00:00,2025-11-07,20:20:04,asumasnam-alerts
exit,IBM,306.47,2025-11-07T20:20:05.286000+00:00,2025-11-07,20:20:05,pro-account-alerts
exit,NET,229.06,2025-11-07T20:20:21.001000+00:00,2025-11-07,20:20:21,pro-account-alerts
exit,BRK,497.54,2025-11-07T20:25:01.146000+00:00,2025-11-07,20:25:01,pro-account-alerts
exit,AVGO,344.56,2025-11-07T20:25:01.176000+00:00,2025-11-07,20:25:01,pro-account-alerts
exit,SPY,668.36,2025-11-07T20:25:01.283000+00:00,2025-11-07,20:25:01,expert-spx-alerts
exit,BA,194.1,2025-11-07T20:25:01.605000+00:00,2025-11-07,20:25:01,asumasnam-alerts
exit,LOW,233.32,2025-11-07T20:25:04.666000+00:00,2025-11-07,20:25:04,pro-account-alerts
call,GE,308.45,2025-11-07T20:25:04.668000+00:00,2025-11-07,20:25:04,asumasnam-alerts
exit,AXP,367.09,2025-11-07T20:25:05.794000+00:00,2025-11-07,20:25:05,pro-account-alerts
exit,CRWD,537.07,2025-11-07T20:25:12.926000+00:00,2025-11-07,20:25:12,pro-account-alerts
exit,TSM,283.82,2025-11-07T20:30:04.423000+00:00,2025-11-07,20:30:04,asumasnam-alerts
exit,LMT,460.92,2025-11-07T20:35:03.056000+00:00,2025-11-07,20:35:03,asumasnam-alerts
call,IONQ,58.23,2025-11-07T20:40:01.043000+00:00,2025-11-07,20:40:01,pro-account-alerts
call,NET,231.04,2025-11-07T20:40:03.212000+00:00,2025-11-07,20:40:03,pro-account-alerts
call,APP,628.36,2025-11-07T20:40:04.142000+00:00,2025-11-07,20:40:04,pro-account-alerts
exit,QURE,27.88,2025-11-07T20:40:35.759000+00:00,2025-11-07,20:40:35,asumasnam-alerts
call,APP,633.32,2025-11-07T20:45:06.284000+00:00,2025-11-07,20:45:06,pro-account-alerts
call,BRK,498.9,2025-11-07T20:45:07.111000+00:00,2025-11-07,20:45:07,pro-account-alerts
exit,GE,307.745,2025-11-07T20:50:04.490000+00:00,2025-11-07,20:50:04,asumasnam-alerts
exit,LLY,917.67,2025-11-07T20:50:04.679000+00:00,2025-11-07,20:50:04,pro-account-alerts
call,NET,232.28,2025-11-07T20:55:01.224000+00:00,2025-11-07,20:55:01,pro-account-alerts
exit,QURE,27.86,2025-11-07T20:55:01.959000+00:00,2025-11-07,20:55:01,asumasnam-alerts
exit,APP,617.95,2025-11-07T20:55:03.189000+00:00,2025-11-07,20:55:03,pro-account-alerts
call,UNH,323.57,2025-11-07T20:55:03.343000+00:00,2025-11-07,20:55:03,pro-account-alerts
call,META,621.59,2025-11-07T21:00:13.029000+00:00,2025-11-07,21:00:13,asumasnam-alerts
call,NDX,25025.0083,2025-11-07T21:00:13.296000+00:00,2025-11-07,21:00:13,expert-spx-alerts
call,OKLO,112.7,2025-11-07T21:00:13.369000+00:00,2025-11-07,21:00:13,asumasnam-alerts
call,IONQ,59.26,2025-11-07T21:00:14.326000+00:00,2025-11-07,21:00:14,pro-account-alerts
call,AVGO,349.45,2025-11-07T21:00:16.238000+00:00,2025-11-07,21:00:16,pro-account-alerts
exit,NDX,24961.8614,2025-11-07T21:05:03.188000+00:00,2025-11-07,21:05:03,expert-spx-alerts
call,COIN,322.56,2025-11-10T14:35:01.457000+00:00,2025-11-10,14:35:01,pro-account-alerts
call,ORCL,244.19,2025-11-10T14:35:01.471000+00:00,2025-11-10,14:35:01,asumasnam-alerts
call,AMD,243.13,2025-11-10T14:35:01.686000+00:00,2025-11-10,14:35:01,asumasnam-alerts
call,SPY,677.8,2025-11-10T14:35:01.929000+00:00,2025-11-10,14:35:01,expert-spx-alerts
call,TSM,294.935,2025-11-10T14:35:02.254000+00:00,2025-11-10,14:35:02,asumasnam-alerts
call,RUT,2464.1935,2025-11-10T14:35:03.263000+00:00,2025-11-10,14:35:03,expert-spx-alerts
call,LLY,956.63,2025-11-10T14:35:03.377000+00:00,2025-11-10,14:35:03,pro-account-alerts
exit,BRK,496.04,2025-11-10T14:35:03.917000+00:00,2025-11-10,14:35:03,pro-account-alerts
call,SPX,6799.0,2025-11-10T14:35:04.084000+00:00,2025-11-10,14:35:04,expert-spx-alerts
call,PLTR,186.39,2025-11-10T14:35:04.149000+00:00,2025-11-10,14:35:04,pro-account-alerts
call,META,625.5,2025-11-10T14:35:04.537000+00:00,2025-11-10,14:35:04,asumasnam-alerts
call,AVGO,357.87,2025-11-10T14:35:04.888000+00:00,2025-11-10,14:35:04,pro-account-alerts
call,MAR,293.16,2025-11-10T14:35:05.043000+00:00,2025-11-10,14:35:05,pro-account-alerts
exit,HD,366.7,2025-11-10T14:35:05.295000+00:00,2025-11-10,14:35:05,pro-account-alerts
call,GOOGL,283.96,2025-11-10T14:35:05.641000+00:00,2025-11-10,14:35:05,pro-account-alerts
call,ASTS,71.16,2025-11-10T14:35:05.748000+00:00,2025-11-10,14:35:05,pro-account-alerts
call,AXP,370.83,2025-11-10T14:35:05.915000+00:00,2025-11-10,14:35:05,pro-account-alerts
call,NET,242.0,2025-11-10T14:35:05.969000+00:00,2025-11-10,14:35:05,pro-account-alerts
call,CVNA,316.23,2025-11-10T14:35:06.267000+00:00,2025-11-10,14:35:06,asumasnam-alerts
call,NVDA,194.32,2025-11-10T14:35:06.301000+00:00,2025-11-10,14:35:06,asumasnam-alerts
exit,HUM,247.68,2025-11-10T14:35:10.298000+00:00,2025-11-10,14:35:10,pro-account-alerts
call,ULTA,520.88,2025-11-10T14:36:00.227000+00:00,2025-11-10,14:36:00,asumasnam-alerts
call,SPY,678.8,2025-11-10T14:40:00.817000+00:00,2025-11-10,14:40:00,expert-spx-alerts
call,PLTR,187.68,2025-11-10T14:40:00.847000+00:00,2025-11-10,14:40:00,pro-account-alerts
call,ORCL,246.75,2025-11-10T14:40:01.011000+00:00,2025-11-10,14:40:01,asumasnam-alerts
call,RUT,2466.9563,2025-11-10T14:40:01.541000+00:00,2025-11-10,14:40:01,expert-spx-alerts
call,SPX,6808.97,2025-11-10T14:40:02.147000+00:00,2025-11-10,14:40:02,expert-spx-alerts
call,META,628.29,2025-11-10T14:40:02.996000+00:00,2025-11-10,14:40:02,asumasnam-alerts
call,APP,666.37,2025-11-10T14:40:03.253000+00:00,2025-11-10,14:40:03,pro-account-alerts
call,GE,312.09,2025-11-10T14:40:03.449000+00:00,2025-11-10,14:40:03,asumasnam-alerts
call,LLY,965.0,2025-11-10T14:40:03.702000+00:00,2025-11-10,14:40:03,pro-account-alerts
call,OKLO,114.24,2025-11-10T14:40:03.713000+00:00,2025-11-10,14:40:03,asumasnam-alerts
call,GOOGL,286.91,2025-11-10T14:40:05.108000+00:00,2025-11-10,14:40:05,pro-account-alerts
call,CRWD,552.17,2025-11-10T14:40:05.729000+00:00,2025-11-10,14:40:05,pro-account-alerts
exit,CVX,153.6,2025-11-10T14:40:15.077000+00:00,2025-11-10,14:40:15,asumasnam-alerts
call,APP,669.875,2025-11-10T14:45:02.162000+00:00,2025-11-10,14:45:02,pro-account-alerts
exit,ULTA,517.02,2025-11-10T14:45:02.832000+00:00,2025-11-10,14:45:02,asumasnam-alerts
call,PLTR,189.35,2025-11-10T14:45:03.314000+00:00,2025-11-10,14:45:03,pro-account-alerts
call,TSM,296.61,2025-11-10T14:45:03.856000+00:00,2025-11-10,14:45:03,asumasnam-alerts
call,AMD,244.73,2025-11-10T14:45:04.389000+00:00,2025-11-10,14:45:04,asumasnam-alerts
call,META,629.7,2025-11-10T14:45:04.474000+00:00,2025-11-10,14:45:04,asumasnam-alerts
exit,MAR,289.68,2025-11-10T14:45:04.494000+00:00,2025-11-10,14:45:04,pro-account-alerts
